Name	Artist	Type	Released	Recorded	RYM Rating	Ranked	Genres	Descriptors	Language	Track listing	Colorscheme
Nowhere	Ride	Album	15 October 1990	1990	"3.70
                  
/ 5.00.5

                     from 16,318 ratings"	#36 for 1990, #2,727 overall	"Shoegaze
Dream Pop, Neo-Psychedelia, Noise Pop, Baggy, Jangle Pop, Space Rock Revival"	noisy,  male vocalist,  energetic,  atmospheric,  melodic,  melancholic,  introspective,  poetic,  ethereal,  bittersweet,  dense,  longing,  love,  romantic,  psychedelic,  lush,  aquatic,  summer,  warm,  breakup,  lonely,  rhythmic	English	['Seagull', 'Kaleidoscope', 'In a Different Place', 'Polar Bear', 'Dreams Burn Down', 'Decay', 'Paralysed', 'Vapour Trail']	['#425c6d', '#5f6f7c', '#7a7a7a']
Going Blank Again	Ride	Album	9 March 1992	May-November 1991	"3.74
                  
/ 5.00.5

                     from 7,650 ratings"	#44 for 1992, #2,863 overall	"Shoegaze, Alternative Rock
Neo-Psychedelia, Dream Pop, Britpop, Jangle Pop, Baggy"	melodic,  male vocalist,  summer,  psychedelic,  uplifting,  warm,  energetic,  noisy,  dense,  optimistic,  ethereal,  happy,  eclectic,  atmospheric,  bittersweet,  lush	English	['Leave Them All Behind', 'Twisterella', 'Not Fazed', 'Chrome Waves', 'Mouse Trap', 'Time of Her Time', 'Cool Your Boots', 'Making Judy Smile', 'Time Machine', 'OX4']	['#9f1c21', '#375883', '#c5a677', '#d17415', '#b19997', '#5d7c98', '#898a8f', '#b2a05e', '#bdb1a0', '#cac0b0']
